iter	Logloss
0	0.6828529232
1	0.6727729349
2	0.662871195
3	0.6532803049
4	0.6439366005
5	0.634495789
6	0.6254218786
7	0.616747101
8	0.6081915256
9	0.599852789
10	0.5915438722
11	0.5834027849
12	0.5754760216
13	0.5676972777
14	0.5601099697
15	0.5527963746
16	0.5457398204
17	0.5384656155
18	0.5314621458
19	0.5247756675
20	0.5183098119
21	0.5120580398
22	0.50572909
23	0.4997717595
24	0.4934239232
25	0.4877332445
26	0.4820589782
27	0.4764699764
28	0.4710505074
29	0.4657415712
30	0.460592823
31	0.4556317241
32	0.4507999622
33	0.4458581071
34	0.4411502166
35	0.4366672617
36	0.4321755649
37	0.4276339532
38	0.4230127072
39	0.4185911974
40	0.4143670452
41	0.4102956983
42	0.4062737473
43	0.4025034757
44	0.3988094944
45	0.3952073296
46	0.3916297605
47	0.3881391207
48	0.3846957494
49	0.3814201434
50	0.3781941538
51	0.3750751389
52	0.3716809145
53	0.3684606748
54	0.3654625396
55	0.3625053604
56	0.3597520217
57	0.3569872915
58	0.3542121872
59	0.351539811
60	0.3486442488
61	0.3458937786
62	0.3432926061
63	0.3407857501
64	0.3382070435
65	0.3357595308
66	0.3335008016
67	0.3313424432
68	0.3291356983
69	0.3269375689
70	0.3247899268
71	0.3227858522
72	0.3208492606
73	0.3189418729
74	0.3171009963
75	0.3151736402
76	0.3133015015
77	0.3115807639
78	0.3098047784
79	0.3080138353
80	0.3063184872
81	0.3047259934
82	0.3031477242
83	0.3016659544
84	0.2999155582
85	0.2983748419
86	0.2967500849
87	0.2953015374
88	0.2939017115
89	0.2925559874
90	0.2912576877
91	0.2900169366
92	0.2887395685
93	0.2875321396
94	0.2863049652
95	0.2850998891
96	0.2838551554
97	0.282631178
98	0.2815020781
99	0.2803482273
100	0.2789995215
101	0.2779765252
102	0.2769954417
103	0.2759563043
104	0.274849577
105	0.2738829679
106	0.2728879992
107	0.2718833732
108	0.2709945436
109	0.2699894691
110	0.2690592383
111	0.2682213496
112	0.267325265
113	0.2665640772
114	0.2655509716
115	0.2647747465
116	0.2638975577
117	0.2630530299
118	0.2622961042
119	0.261586362
120	0.2606709333
121	0.2598190729
122	0.2591722656
123	0.2584802335
124	0.2577332089
125	0.2570108725
126	0.2563501688
127	0.2557748682
128	0.2550922629
129	0.2545019783
130	0.2538330858
131	0.2532177336
132	0.252547631
133	0.2519423381
134	0.2513856805
135	0.2508513976
136	0.2503636283
137	0.2498815371
138	0.2493898106
139	0.2488656705
140	0.2483457793
141	0.2478520682
142	0.2473045687
143	0.2467238104
144	0.246239003
145	0.2457518326
146	0.2453344495
147	0.2446547399
148	0.2442208861
149	0.2438216172
150	0.2433956755
151	0.2428607374
152	0.2424774671
153	0.2419652414
154	0.2415944891
155	0.2412580997
156	0.240942508
157	0.2406150694
158	0.2402850263
159	0.2399874642
160	0.2395883
161	0.2392196044
162	0.2388726082
163	0.2383975836
164	0.2380896305
165	0.237774481
166	0.2372134248
167	0.2368085338
168	0.2363825692
169	0.2360410071
170	0.2357694522
171	0.2355013977
172	0.235243129
173	0.2349665027
174	0.2346780146
175	0.234216906
176	0.2339695504
177	0.233653897
178	0.2332049786
179	0.2327756864
180	0.2324102467
181	0.2321419971
182	0.2318666167
183	0.2316781389
184	0.2313453499
185	0.2311229063
186	0.2307374216
187	0.2305139571
188	0.2302872856
189	0.2299420164
190	0.2296970867
191	0.2294929091
192	0.2292152991
193	0.2290462151
194	0.2288460651
195	0.2286432445
196	0.228479099
197	0.2282364144
198	0.2280898014
199	0.2279473463
200	0.2277780917
201	0.2273904032
202	0.226972917
203	0.2267423398
204	0.2264518748
205	0.2261938689
206	0.2260839389
207	0.2259397451
208	0.2256548336
209	0.2253682637
210	0.2251582991
