iter	Passed	Remaining
0	137	137279
1	140	70182
2	143	47742
3	146	36527
4	149	29804
5	153	25361
6	156	22225
7	160	19856
8	163	17973
9	165	16432
10	168	15188
11	172	14201
12	175	13338
13	179	12610
14	182	11971
15	186	11453
16	189	10973
17	192	10528
18	195	10116
19	200	9815
20	203	9481
21	205	9155
22	208	8858
23	211	8608
24	215	8389
25	217	8139
26	220	7942
27	223	7749
28	227	7609
29	230	7440
30	233	7293
31	236	7142
32	239	7021
33	243	6919
34	246	6807
35	249	6676
36	252	6576
37	256	6487
38	259	6396
39	262	6293
40	265	6204
41	268	6131
42	271	6049
43	274	5955
44	277	5882
45	280	5821
46	284	5758
47	286	5692
48	289	5625
49	292	5550
50	295	5499
51	298	5440
52	301	5384
53	304	5338
54	307	5285
55	310	5240
56	314	5197
57	317	5162
58	321	5123
59	324	5088
60	327	5043
61	330	5007
62	333	4967
63	337	4934
64	340	4902
65	343	4864
66	346	4828
67	348	4780
68	352	4749
69	354	4714
70	358	4687
71	360	4645
72	363	4612
73	366	4592
74	369	4563
75	373	4535
76	375	4506
77	379	4481
78	382	4457
79	384	4426
80	388	4402
81	390	4376
82	394	4360
83	397	4338
84	400	4313
85	403	4290
86	406	4265
87	409	4244
88	412	4221
89	415	4199
90	417	4174
91	420	4152
92	423	4134
93	426	4111
94	429	4093
95	432	4072
96	437	4068
97	439	4048
98	442	4030
99	445	4013
100	449	3999
101	452	3987
102	456	3974
103	459	3959
104	462	3942
105	466	3931
106	468	3914
107	471	3897
108	474	3881
109	478	3873
110	482	3864
111	485	3848
112	488	3837
113	492	3830
114	496	3820
115	499	3810
116	503	3799
117	508	3798
118	511	3784
119	514	3772
120	517	3759
121	521	3752
122	524	3738
123	527	3725
124	530	3713
125	533	3703
126	536	3690
127	539	3678
128	543	3668
129	546	3658
130	550	3652
131	553	3639
132	556	3630
133	559	3615
134	563	3607
135	565	3593
136	567	3577
137	570	3565
138	573	3551
139	577	3545
140	580	3534
141	582	3521
142	585	3508
143	588	3498
144	591	3489
145	595	3480
146	597	3468
147	600	3459
148	604	3450
149	606	3438
150	610	3430
151	613	3420
152	615	3409
153	619	3402
154	622	3393
155	625	3382
156	627	3370
157	630	3357
158	633	3349
159	636	3339
160	638	3329
161	642	3322
162	645	3314
163	649	3309
164	652	3299
165	654	3288
166	657	3280
167	660	3272
168	663	3264
169	667	3257
170	670	3249
171	673	3243
172	676	3233
173	679	3223
174	681	3214
175	684	3206
176	688	3200
177	691	3193
178	694	3184
179	697	3176
180	700	3168
181	704	3168
182	712	3180
183	717	3182
184	721	3180
